,InflPC1_rollstd_d1,InflPC2_rollstd_d1
2016-05-25,0.052029960069992706,0.04361633344380404
2016-05-27,0.052042343530635846,0.04354419909924002
2016-05-30,0.04652863156408885,0.0424734457248417
2016-05-31,0.040784164836584334,0.041682915966844286
2016-06-01,0.040904175303590806,0.04146294399794915
2016-06-02,0.04088281688781636,0.041461396411608696
2016-06-03,0.040736760676245834,0.04143668266996224
2016-06-06,0.04072598577299841,0.04124950242047233
2016-06-07,0.040428729257473435,0.04112199996480174
2016-06-08,0.03911414968418345,0.04080015895812172
2016-06-09,0.03913238434391649,0.040748069753614065
2016-06-10,0.03914773389023716,0.0407966059262798
2016-06-13,0.03912824006957016,0.04082614339029779
2016-06-14,0.03922888326162737,0.04078645843503232
2016-06-15,0.03845310351328967,0.04080925241950457
2016-06-16,0.038089596605488746,0.04042498634416402
2016-06-17,0.034528349270066365,0.037159338351020574
2016-06-20,0.005758680344718371,0.007209318510841897
2016-06-21,0.00582306059500191,0.007424098147564613
2016-06-22,0.00536830168075362,0.007291691659590105
2016-06-23,0.005373209001736332,0.007309247399127335
2016-06-24,0.005447141040417182,0.0075128632349505155
2016-06-27,0.005975155419890796,0.007732612757757393
2016-06-28,0.005827016562737575,0.007910959693458711
2016-06-29,0.01493231130207126,0.010910946448741167
2016-06-30,0.029355722929183366,0.017384911916736003
2016-07-01,0.030609167454333595,0.018201642244017765
2016-07-04,0.037345019909483065,0.019190373620127522
2016-07-05,0.03750755646562173,0.019151011211779784
2016-07-06,0.03744037936800981,0.019241671872382675
2016-07-07,0.0369987980444745,0.01905253902128187
